checkintime,checkinid,userid,checkintype
2024-06-01T08:52:30Z,"122,533,993",40119957,Away ELITE member
2024-06-01T08:53:26Z,"37,749,291",33528081,Away ELITE member
2024-06-01T08:54:06Z,"122,392,594",97752801,Away ELITE member
2024-06-01T08:54:26Z,"122,472,102",97752856,Away ELITE member
2024-06-01T08:54:57Z,"37,749,411",194213,Tagged Member
2024-06-01T08:55:15Z,"122,240,131",97614823,Away ELITE member
2024-06-01T08:55:55Z,"122,274,618",24014640,Away ELITE member
2024-06-01T08:56:03Z,"122,537,132",130199,Away ELITE member
2024-06-01T08:56:11Z,"122,356,941",6559953,Away ELITE member
2024-06-01T08:56:33Z,"122,469,656",94719358,Away ELITE member
2024-06-01T08:57:07Z,"37,749,590",1242075,Away ELITE member
2024-06-01T08:57:29Z,"122,303,681",96546716,Away ELITE member
2024-06-01T08:58:52Z,"122,536,697",71309468,Away ELITE member
2024-06-01T08:59:02Z,"122,534,261",56551270,Away ELITE member
2024-06-01T08:59:20Z,"122,538,490",22610996,Away ELITE member
2024-06-01T08:59:53Z,"37,749,822",97517506,Tagged Member
2024-06-01T09:00:24Z,"122,362,106",51930260,Away ELITE member
2024-06-01T09:00:49Z,"37,749,911",84527427,Away ELITE member
2024-06-01T09:02:00Z,"122,316,117",189286,Away ELITE member
2024-06-01T09:02:15Z,"122,387,476",85662779,Away ELITE member
2024-06-01T09:04:50Z,"122,330,557",88545933,Away ELITE member
2024-06-01T09:05:10Z,"122,534,585",96881635,Away ELITE member
2024-06-01T09:07:01Z,"122,458,868",96631070,Away ELITE member
2024-06-01T09:08:04Z,"122,536,420",96276003,Away ELITE member
2024-06-01T09:13:55Z,"37,750,933",79505335,Away ELITE member
2024-06-01T09:31:33Z,"37,752,265",98471462,Tagged Member
2024-06-01T09:34:55Z,"37,752,497",898842,Tagged Member
2024-06-01T09:51:04Z,"122,237,170",5331595,Away ELITE member
2024-06-01T09:51:49Z,"122,467,403",94532514,Away ELITE member
2024-06-01T09:55:06Z,"122,541,648",64845259,Away ELITE member
2024-06-01T09:55:14Z,"122,536,228",93795269,Away ELITE member
2024-06-01T09:55:25Z,"122,392,602",97752801,Away ELITE member
2024-06-01T09:55:37Z,"122,472,120",97752856,Away ELITE member
2024-06-01T09:55:42Z,"122,516,504",94286579,Away ELITE member
2024-06-01T09:55:52Z,"122,536,429",40119957,Away ELITE member
2024-06-01T09:56:07Z,"122,387,489",85662779,Away ELITE member
2024-06-01T09:57:03Z,"122,534,269",56551270,Away ELITE member
2024-06-01T09:57:45Z,"122,512,790",64586484,Away ELITE member
2024-06-01T10:00:29Z,"37,754,212",96881635,Away ELITE member
2024-06-01T10:00:54Z,"122,346,163",7838313,Away ELITE member
2024-06-01T10:01:22Z,"122,228,303",92346247,Away ELITE member
2024-06-01T10:01:51Z,"122,530,170",181739,Away ELITE member
2024-06-01T10:02:42Z,"37,754,363",96422116,Away ELITE member
2024-06-01T10:15:09Z,"37,755,102",94656916,Tagged Member
2024-06-01T10:21:38Z,"37,755,506",94163377,Tagged Member
2024-06-01T10:27:37Z,"37,755,915",93777105,Away ELITE member
2024-06-01T10:27:39Z,"37,755,899",93928905,Away ELITE member
2024-06-01T10:27:51Z,"37,755,909",12270945,Away ELITE member
2024-06-01T10:43:37Z,"122,252,418",67659833,Away ELITE member
2024-06-01T10:48:32Z,"122,286,109",14157384,Away ELITE member
2024-06-01T10:50:45Z,"122,352,001",65589,Away ELITE member
2024-06-01T10:52:37Z,"122,482,067",88781250,Away ELITE member
2024-06-01T10:53:08Z,"37,757,338",17003387,Tagged Member
2024-06-01T10:54:41Z,"37,757,427",946223,Tagged Member
2024-06-01T10:54:46Z,"122,544,720",40119957,Away ELITE member
2024-06-01T10:54:53Z,"37,757,435",70582136,Away ELITE member
2024-06-01T10:54:54Z,"122,507,011",1897620,Away ELITE member
2024-06-01T10:55:13Z,"122,228,259",92346247,Away ELITE member
2024-06-01T10:56:18Z,"122,543,397",17783032,Away ELITE member
2024-06-01T10:58:03Z,"37,757,612",97313422,Away ELITE member
2024-06-01T10:59:00Z,"122,543,428",13319747,Away ELITE member
2024-06-01T11:07:15Z,"37,758,107",11872139,Away ELITE member
2024-06-01T11:07:53Z,"37,758,134",62840735,Away ELITE member
2024-06-01T11:14:58Z,"37,758,504",94627801,Tagged Member
2024-06-01T11:20:01Z,"37,758,784",98418541,Tagged Member
2024-06-01T11:24:34Z,"37,758,986",83501496,Tagged Member
2024-06-01T11:25:00Z,"37,759,002",96660345,Tagged Member
2024-06-01T11:33:31Z,"37,759,405",94489148,Tagged Member
2024-06-01T11:35:47Z,"37,759,492",93496332,Tagged Member
2024-06-01T11:46:52Z,"37,759,973",95141462,Tagged Member
2024-06-01T11:52:10Z,"37,760,170",26594035,Away ELITE member
2024-06-01T12:03:37Z,"37,760,637",97912286,Tagged Member
2024-06-01T12:15:05Z,"37,761,054",319448,Tagged Member
2024-06-01T13:54:28Z,"37,764,157",97528273,Tagged Member
2024-06-01T14:17:07Z,"37,764,750",86093886,Tagged Member
2024-06-01T15:52:11Z,"122,263,828",1533105,Away ELITE member
2024-06-01T15:55:30Z,"122,525,309",96476509,Away ELITE member
2024-06-01T15:55:37Z,"122,540,166",6310548,Away ELITE member
2024-06-01T15:56:14Z,"122,559,769",40035211,Away ELITE member
2024-06-01T15:56:44Z,"122,558,096",51930260,Away ELITE member
2024-06-01T16:00:34Z,"122,558,116",97073649,Away ELITE member
2024-06-01T16:01:33Z,"122,558,907",16524587,Away ELITE member
2024-06-01T16:03:11Z,"122,516,822",8395413,Away PRO member
2024-06-01T16:05:48Z,"122,556,800",21783861,Away ELITE member
2024-06-01T16:09:17Z,"37,767,824",50098404,Tagged Member
2024-06-01T16:09:26Z,"37,767,835",98115869,Tagged Member
2024-06-01T16:11:06Z,"37,767,899",98022429,Tagged Member
2024-06-01T16:11:38Z,"37,767,924",98523491,TRIAL
2024-06-01T16:22:05Z,"37,768,421",83639929,Tagged Member
2024-06-01T16:22:12Z,"37,768,429",94513807,Tagged Member
2024-06-01T16:22:53Z,"37,768,459",67659833,Tagged Member
2024-06-01T16:25:36Z,"37,768,581",91506852,Tagged Member
2024-06-01T16:38:23Z,"37,769,322",98370675,Tagged Member
2024-06-01T16:56:40Z,"37,770,486",124502,Tagged Member
2024-06-01T16:57:50Z,"122,230,534",98115869,Away ELITE member
2024-06-01T16:58:35Z,"122,509,027",166235,Away ELITE member
2024-06-01T17:00:16Z,"122,565,243",25236371,Away ELITE member
2024-06-01T17:00:24Z,"122,542,036",5876325,Away ELITE member
2024-06-01T17:05:04Z,"122,363,032",96454372,Away ELITE member
2024-06-01T17:07:00Z,"37,771,148",82595198,Tagged Member
2024-06-01T17:07:11Z,"37,771,161",94452339,Tagged Member
2024-06-01T17:15:21Z,"37,771,723",41811050,Tagged Member
2024-06-01T17:16:12Z,"37,771,771",67012106,Tagged Member
2024-06-01T17:28:44Z,"37,772,629",95726130,Tagged Member
2024-06-01T17:36:02Z,"37,773,117",1364859,Away ELITE member
2024-06-01T17:36:53Z,"37,773,181",94655812,Tagged Member
2024-06-01T17:39:34Z,"37,773,387",6432342,Away PRO member
2024-06-01T17:41:00Z,"122,559,603",82595198,Away ELITE member
2024-06-01T17:50:43Z,"122,447,661",71152892,Away ELITE member
2024-06-01T17:53:36Z,"122,464,794",16543498,Away ELITE member
2024-06-01T17:53:49Z,"122,303,019",92963738,Away ELITE member
2024-06-01T17:54:00Z,"122,563,886",96200693,Away ELITE member
2024-06-01T17:54:08Z,"122,486,101",98497149,Away ELITE member
2024-06-01T17:54:39Z,"122,566,838",96268784,TRIAL
2024-06-01T17:54:54Z,"122,304,110",34836909,Away ELITE member
2024-06-01T17:55:11Z,"122,563,815",92453732,Away ELITE member
2024-06-01T17:55:20Z,"122,298,577",64795793,Away ELITE member
2024-06-01T17:55:30Z,"122,473,835",80211388,Away ELITE member
2024-06-01T17:56:00Z,"122,461,536",95494208,Away ELITE member
2024-06-01T17:56:21Z,"122,560,389",10601948,Away ELITE member
2024-06-01T17:56:47Z,"122,562,910",98477334,Away ELITE member
2024-06-01T17:57:01Z,"122,570,195",21889149,Away ELITE member
2024-06-01T17:57:18Z,"122,488,794",1909210,Away ELITE member
2024-06-01T17:57:55Z,"122,296,301",95706413,Away ELITE member
2024-06-01T17:58:53Z,"122,562,728",95331022,Away ELITE member
2024-06-01T17:59:31Z,"122,486,135",83626690,Away ELITE member
2024-06-01T18:00:01Z,"122,563,083",97113578,Away ELITE member
2024-06-01T18:00:36Z,"122,563,969",87582902,Away ELITE member
2024-06-01T18:00:59Z,"122,563,925",83507429,Away ELITE member
2024-06-01T18:01:08Z,"122,452,703",15652976,Away ELITE member
2024-06-01T18:02:40Z,"122,362,002",97376545,Away ELITE member
2024-06-01T18:02:41Z,"37,775,442",31695280,Tagged Member
2024-06-01T18:04:04Z,"122,561,402",67349149,Away ELITE member
2024-06-01T18:04:17Z,"122,483,478",82840140,Away ELITE member
2024-06-01T18:05:22Z,"122,483,499",10826256,Away ELITE member
2024-06-01T18:13:28Z,"122,286,392",94820181,Away ELITE member
2024-06-01T18:26:35Z,"37,777,835",95238950,Away ELITE member
2024-06-01T18:45:22Z,"37,779,960",97275250,Away ELITE member
2024-06-01T18:52:12Z,"122,432,525",98344616,Away ELITE member
2024-06-01T18:53:18Z,"122,465,001",16543498,Away ELITE member
2024-06-01T18:54:11Z,"37,780,932",96200693,Tagged Member
2024-06-01T18:54:43Z,"37,781,000",83626690,Tagged Member
2024-06-01T18:54:43Z,"37,780,990",98497149,Tagged Member
2024-06-01T18:54:54Z,"37,781,012",97354538,Tagged Member
2024-06-01T19:00:43Z,"122,559,404",93091156,Away ELITE member
2024-06-01T19:00:54Z,"122,573,786",9830558,Away ELITE member
2024-06-01T19:01:53Z,"122,479,822",165737,Away ELITE member
2024-06-01T19:02:55Z,"122,536,778",6755823,Away ELITE member
2024-06-01T19:11:10Z,"122,546,103",136845,Away ELITE member
2024-06-01T19:50:38Z,"37,786,511",68451505,Tagged Member
2024-06-01T20:01:55Z,"37,787,420",94166005,Away ELITE member
2024-06-01T20:02:10Z,"37,787,439",92728510,Away ELITE member
2024-06-01T20:10:52Z,"37,788,071",8657434,Away ELITE member
2024-06-01T20:24:24Z,"37,788,946",98088849,Tagged Member
2024-06-01T20:28:16Z,"37,789,184",94322384,Tagged Member
2024-06-01T20:44:08Z,"37,790,130",97343669,Tagged Member
2024-06-01T20:45:40Z,"37,790,221",97356262,Tagged Member
2024-06-01T20:49:44Z,"37,790,435",21695085,Away ELITE member
2024-06-02T05:56:13Z,"122,541,347",31785517,Away ELITE member
2024-06-02T05:56:41Z,"122,549,985",98590674,TRIAL
2024-06-02T05:58:20Z,"122,616,298",25109222,Away ELITE member
2024-06-02T06:00:37Z,"122,596,282",95297461,Away ELITE member
2024-06-02T06:03:54Z,"122,394,071",97453703,Away ELITE member
2024-06-02T06:05:51Z,"37,792,934",21641830,Tagged Member
2024-06-02T06:09:26Z,"37,792,983",980059,Away ELITE member
2024-06-02T06:44:18Z,"122,592,601",97912529,Away ELITE member
2024-06-02T06:44:45Z,"122,339,783",81360300,Away ELITE member
2024-06-02T06:51:00Z,"122,600,920",55630195,Away ELITE member
2024-06-02T06:53:24Z,"122,602,901",96476509,Away ELITE member
2024-06-02T06:53:34Z,"122,416,558",93917404,Away ELITE member
2024-06-02T06:53:48Z,"122,415,010",96936514,Away ELITE member
2024-06-02T06:55:10Z,"122,540,114",85525705,Away ELITE member
2024-06-02T06:55:21Z,"122,563,149",90834993,Away ELITE member
2024-06-02T06:55:43Z,"122,539,293",4690251,Away ELITE member
2024-06-02T06:55:53Z,"122,416,467",86019532,Away ELITE member
2024-06-02T06:56:14Z,"122,595,873",24675,Away ELITE member
2024-06-02T06:56:24Z,"122,581,325",26990826,Away ELITE member
2024-06-02T06:56:33Z,"122,577,722",5876325,Away ELITE member
2024-06-02T06:56:41Z,"122,561,765",9722746,Away ELITE member
2024-06-02T06:56:50Z,"122,617,762",97459536,Away ELITE member
2024-06-02T06:57:00Z,"122,555,776",94719358,Away ELITE member
2024-06-02T06:57:30Z,"122,322,104",93781539,Away ELITE member
2024-06-02T06:58:50Z,"122,351,300",98413409,Away ELITE member
2024-06-02T07:01:49Z,"122,440,719",33402631,Away ELITE member
2024-06-02T07:04:17Z,"122,601,822",17783090,Away ELITE member
2024-06-02T07:04:28Z,"37,794,156",24401626,Tagged Member
2024-06-02T07:08:50Z,"37,794,292",96535759,Tagged Member
2024-06-02T07:13:42Z,"37,794,377",98523491,TRIAL
2024-06-02T07:15:24Z,"37,794,524",98022429,Tagged Member
2024-06-02T07:20:02Z,"37,794,668",62840735,Away ELITE member
2024-06-02T07:42:32Z,"122,616,867",92963738,Away ELITE member
2024-06-02T07:43:35Z,"122,516,655",32540637,Away ELITE member
2024-06-02T07:43:44Z,"122,556,166",93687607,Away ELITE member
2024-06-02T07:45:46Z,"122,320,571",40035211,Away ELITE member
2024-06-02T07:49:51Z,"122,310,159",50946059,Away ELITE member
2024-06-02T07:50:01Z,"122,617,952",16543498,Away ELITE member
2024-06-02T07:50:48Z,"122,618,636",24014640,Away ELITE member
2024-06-02T07:52:25Z,"122,323,832",88073625,Away ELITE member
2024-06-02T07:52:35Z,"122,339,480",97024801,Away ELITE member
2024-06-02T07:53:38Z,"122,313,344",13706698,Away ELITE member
2024-06-02T07:53:52Z,"122,359,141",27629985,Away ELITE member
2024-06-02T07:54:43Z,"122,339,515",82626217,Away ELITE member
2024-06-02T07:56:32Z,"122,340,506",51904436,Away ELITE member
2024-06-02T07:56:55Z,"122,619,896",1909210,Away ELITE member
2024-06-02T07:57:03Z,"37,796,032",87437497,Away ELITE member
2024-06-02T07:57:30Z,"122,341,424",22884629,Away ELITE member
2024-06-02T07:58:11Z,"122,309,571",92535618,Away ELITE member
2024-06-02T07:58:32Z,"122,338,700",47963251,Away ELITE member
2024-06-02T07:59:25Z,"122,616,868",795097,Away ELITE member
2024-06-02T08:00:02Z,"122,587,214",64360494,Away ELITE member
2024-06-02T08:00:10Z,"122,465,326",90834993,Away ELITE member
2024-06-02T08:00:18Z,"122,618,805",4690251,Away ELITE member
2024-06-02T08:00:27Z,"122,602,930",96936514,Away ELITE member
2024-06-02T08:00:36Z,"122,616,866",93917404,Away ELITE member
2024-06-02T08:00:44Z,"122,318,767",85329703,Away ELITE member
2024-06-02T08:01:01Z,"122,621,851",85525705,Away ELITE member
2024-06-02T08:01:10Z,"122,438,600",40119957,Away ELITE member
2024-06-02T08:01:19Z,"37,796,257",98413409,Tagged Member
2024-06-02T08:01:38Z,"122,582,499",74330265,Away ELITE member
2024-06-02T08:03:04Z,"122,344,184",85183015,Away ELITE member
2024-06-02T08:03:13Z,"122,333,918",823058,Away ELITE member
2024-06-02T08:03:23Z,"122,347,630",92757322,Away ELITE member
2024-06-02T08:03:33Z,"122,319,038",92708366,Away ELITE member
2024-06-02T08:04:53Z,"37,796,434",97912529,Away ELITE member
2024-06-02T08:05:19Z,"122,605,420",86019532,Away ELITE member
2024-06-02T08:11:27Z,"37,792,828",96974785,Away ELITE member
2024-06-02T08:13:17Z,"37,796,803",15572386,Away ELITE member
2024-06-02T08:42:20Z,"37,798,242",47584216,Away ELITE member
2024-06-02T08:42:20Z,"122,486,026",90553063,Away ELITE member
2024-06-02T08:44:31Z,"122,391,658",61289,Away ELITE member
2024-06-02T08:45:09Z,"122,620,192",15572386,Away ELITE member
2024-06-02T08:45:39Z,"122,620,189",22364049,Away ELITE member
2024-06-02T08:50:05Z,"122,619,494",91269866,Away ELITE member
2024-06-02T08:52:38Z,"37,798,779",98022429,Tagged Member
2024-06-02T08:53:36Z,"37,798,842",9493423,Away ELITE member
2024-06-02T08:54:17Z,"122,435,454",16543498,Away ELITE member
2024-06-02T08:54:58Z,"122,487,770",24014640,Away ELITE member
2024-06-02T08:55:27Z,"122,614,617",88781250,Away ELITE member
2024-06-02T08:55:34Z,"122,452,777",97024801,Away ELITE member
2024-06-02T08:55:44Z,"122,443,429",96564471,Away ELITE member
2024-06-02T08:58:07Z,"122,445,048",89778988,Away ELITE member
2024-06-02T08:58:36Z,"122,317,760",17657448,Away ELITE member
2024-06-02T08:58:44Z,"122,600,789",31785517,Away ELITE member
2024-06-02T08:58:52Z,"122,438,184",86189891,Away ELITE member
2024-06-02T08:59:17Z,"122,624,236",85662779,Away ELITE member
2024-06-02T08:59:29Z,"122,627,389",1364859,Away ELITE member
2024-06-02T09:00:55Z,"122,356,959",6559953,Away ELITE member
2024-06-02T09:01:03Z,"122,481,605",98344616,Away ELITE member
2024-06-02T09:04:23Z,"37,799,428",94361316,Tagged Member
2024-06-02T09:12:16Z,"37,799,828",17361919,Tagged Member
2024-06-02T09:13:26Z,"37,799,882",31270998,Tagged Member
2024-06-02T09:14:58Z,"37,799,952",95224883,Away ELITE member
2024-06-02T09:15:13Z,"37,799,964",35408344,Away ELITE member
2024-06-02T09:33:22Z,"37,800,858",79505335,Away ELITE member
2024-06-02T09:35:56Z,"37,800,993",98306946,Tagged Member
2024-06-02T09:39:43Z,"37,801,166",92504343,Tagged Member
2024-06-02T09:42:11Z,"37,801,298",47866825,Away ELITE member
2024-06-02T09:46:06Z,"122,464,076",97752801,Away ELITE member
2024-06-02T09:46:44Z,"122,574,462",98374683,Away ELITE member
2024-06-02T09:51:00Z,"37,801,735",11872139,Away ELITE member
2024-06-02T09:51:55Z,"122,447,667",71152892,Away ELITE member
2024-06-02T09:52:05Z,"122,624,721",29763268,Away ELITE member
2024-06-02T09:54:08Z,"122,315,184",1533105,Away ELITE member
2024-06-02T09:54:10Z,"37,801,876",98115869,Tagged Member
2024-06-02T09:55:05Z,"122,582,460",96876273,Away ELITE member
2024-06-02T09:55:54Z,"122,630,785",40119957,Away ELITE member
2024-06-02T09:56:08Z,"122,626,899",20432346,Away ELITE member
2024-06-02T09:56:52Z,"122,630,219",532279,Away ELITE member
2024-06-02T09:57:33Z,"122,566,429",95706413,Away ELITE member
2024-06-02T09:58:41Z,"122,370,831",96652283,Away ELITE member
2024-06-02T09:58:50Z,"122,443,632",12587192,Away ELITE member
2024-06-02T10:00:39Z,"122,626,266",62861651,Away ELITE member
2024-06-02T10:01:05Z,"122,558,754",35298715,Away ELITE member
2024-06-02T10:01:22Z,"122,631,146",90999491,Away ELITE member
2024-06-02T10:01:35Z,"122,631,168",90522616,Away ELITE member
2024-06-02T10:06:47Z,"122,598,644",90714793,Away ELITE member
2024-06-02T10:10:28Z,"37,802,676",83966829,Tagged Member
2024-06-02T10:22:16Z,"37,803,238",95297782,Away ELITE member
2024-06-02T10:45:53Z,"122,633,436",92391346,Away ELITE member
2024-06-02T10:51:11Z,"122,634,452",71603,Away ELITE member
2024-06-02T10:52:53Z,"122,574,484",98374683,Away ELITE member
2024-06-02T10:59:27Z,"122,627,873",40119957,Away ELITE member
2024-06-02T11:00:53Z,"122,466,677",14157384,Away ELITE member
2024-06-02T11:01:41Z,"122,613,168",39581392,Away ELITE member
2024-06-02T11:06:26Z,"122,346,203",7838313,Away ELITE member
2024-06-02T11:14:43Z,"37,805,358",5860224,Tagged Member
2024-06-02T11:17:00Z,"37,805,439",94656916,Tagged Member
2024-06-02T11:22:17Z,"37,805,645",67659833,Tagged Member
2024-06-02T11:44:17Z,"122,575,333",95297782,Away ELITE member
2024-06-02T11:47:12Z,"37,806,496",98028099,Tagged Member
2024-06-02T11:47:35Z,"37,806,511",94627801,Tagged Member
2024-06-02T11:51:28Z,"37,806,640",39581392,Away ELITE member
2024-06-02T12:38:26Z,"37,808,032",89942819,Tagged Member
2024-06-02T13:16:20Z,"37,808,973",87421858,Tagged Member
2024-06-02T13:37:11Z,"37,809,319",26594035,Away ELITE member
2024-06-02T14:40:18Z,"37,810,370",83501496,Tagged Member
2024-06-02T15:04:16Z,"37,810,775",91506852,Tagged Member
2024-06-02T15:53:37Z,"37,811,625",95141462,Tagged Member
2024-06-02T16:28:31Z,"37,812,420",94452339,Tagged Member
2024-06-02T16:54:56Z,"122,652,159",85525705,Away ELITE member
2024-06-02T17:00:37Z,"37,813,429",97247885,Tagged Member
2024-06-02T17:01:34Z,"37,813,463",95821443,Away ELITE member
2024-06-02T17:02:10Z,"122,632,698",95242445,Away ELITE member
2024-06-02T17:02:38Z,"122,632,699",68451505,Away ELITE member
2024-06-02T17:10:00Z,"37,813,768",41811050,Tagged Member
2024-06-02T17:33:14Z,"37,814,665",94621427,Tagged Member
2024-06-02T17:33:58Z,"37,814,686",10400867,Away ELITE member
2024-06-02T17:50:47Z,"37,815,420",29316219,Away ELITE member
2024-06-02T17:51:31Z,"37,815,449",6755340,Tagged Member
2024-06-02T17:51:40Z,"37,815,457",68451505,Tagged Member
2024-06-02T17:57:24Z,"122,659,409",152118,Away ELITE member
2024-06-02T18:02:01Z,"37,815,943",67012106,Tagged Member
2024-06-02T18:06:38Z,"37,816,178",31155623,Away ELITE member
2024-06-02T18:28:13Z,"37,817,016",92574032,Away ELITE member
2024-06-02T18:36:32Z,"37,817,267",92170752,Away ELITE member
2024-06-02T18:55:32Z,"122,350,528",93008074,Away ELITE member
2024-06-02T19:00:55Z,"122,664,002",9830558,Away ELITE member
2024-06-02T19:12:22Z,"37,818,436",28903974,Away ELITE member
2024-06-02T19:14:09Z,"37,818,503",194213,Tagged Member
2024-06-02T19:37:10Z,"37,819,283",98370675,Tagged Member
2024-06-02T20:11:46Z,"37,820,248",94834520,Tagged Member
2024-06-02T21:03:21Z,"122,654,312",4690251,Away ELITE member
2024-06-03T05:51:58Z,"122,710,191",9476120,Away ELITE member
2024-06-03T05:56:29Z,"122,445,297",98115869,Away ELITE member
2024-06-03T05:56:40Z,"122,405,254",49803079,Away ELITE member
2024-06-03T05:58:06Z,"122,623,090",95285513,Away ELITE member
2024-06-03T05:58:53Z,"122,451,304",18856439,Away ELITE member
2024-06-03T05:59:23Z,"122,508,435",56551270,Away ELITE member
2024-06-03T06:00:03Z,"37,823,440",94752414,Tagged Member
2024-06-03T06:00:35Z,"37,823,517",97205184,Tagged Member
2024-06-03T06:01:28Z,"122,666,565",6755340,Away ELITE member
2024-06-03T06:01:37Z,"122,488,197",94668693,Away ELITE member
